       wId wName                                          wCap        sId        nId
         1 Supplier#000000001 EGYPT                       3066          1          4
         2 Supplier#000000001 ROMANIA                     3066          1         19
         3 Supplier#000000001 MOROCCO                     3066          1         15
         4 Supplier#000000002 VIETNAM                     2814          2         21
         5 Supplier#000000002 SAUDI ARABIA                2814          2         20
         6 Supplier#000000002 INDONESIA                   2814          2          9
         7 Supplier#000000003 ALGERIA                     3009          3          0
         8 Supplier#000000003 JAPAN                       3009          3         12
         9 Supplier#000000003 IRAN                        3009          3         10
        10 Supplier#000000004 CANADA                      3369          4          3
        11 Supplier#000000004 IRAN                        3369          4         10
        12 Supplier#000000004 UNITED KINGDOM              3369          4         23
        13 Supplier#000000005 CANADA                      2595          5          3
        14 Supplier#000000005 EGYPT                       2595          5          4
        15 Supplier#000000005 INDIA                       2595          5          8
        16 Supplier#000000006 IRAN                        2598          6         10
        17 Supplier#000000006 CANADA                      2598          6          3
        18 Supplier#000000006 INDIA                       2598          6          8
        19 Supplier#000000007 CANADA                      2841          7          3
        20 Supplier#000000007 ROMANIA                     2841          7         19
        21 Supplier#000000007 RUSSIA                      2841          7         22
        22 Supplier#000000008 CANADA                      3132          8          3
        23 Supplier#000000008 EGYPT                       3132          8          4
        24 Supplier#000000008 GERMANY                     3132          8          7
        25 Supplier#000000009 EGYPT                       2691          9          4
        26 Supplier#000000009 IRAQ                        2691          9         11
        27 Supplier#000000009 CANADA                      2691          9          3
        28 Supplier#000000010 GERMANY                     2892         10          7
        29 Supplier#000000010 CANADA                      2892         10          3
        30 Supplier#000000010 KENYA                       2892         10         14
        31 Supplier#000000011 EGYPT                       2760         11          4
        32 Supplier#000000011 ROMANIA                     2760         11         19
        33 Supplier#000000011 ALGERIA                     2760         11          0
        34 Supplier#000000012 SAUDI ARABIA                2427         12         20
        35 Supplier#000000012 INDONESIA                   2427         12          9
        36 Supplier#000000012 JAPAN                       2427         12         12
        37 Supplier#000000013 EGYPT                       2808         13          4
        38 Supplier#000000013 MOZAMBIQUE                  2808         13         16
        39 Supplier#000000013 ALGERIA                     2808         13          0
        40 Supplier#000000014 CANADA                      3195         14          3
        41 Supplier#000000014 EGYPT                       3195         14          4
        42 Supplier#000000014 BRAZIL                      3195         14          2
        43 Supplier#000000015 SAUDI ARABIA                3384         15         20
        44 Supplier#000000015 EGYPT                       3384         15          4
        45 Supplier#000000015 IRAN                        3384         15         10
        46 Supplier#000000016 SAUDI ARABIA                2958         16         20
        47 Supplier#000000016 CANADA                      2958         16          3
        48 Supplier#000000016 ALGERIA                     2958         16          0
        49 Supplier#000000017 INDONESIA                   2610         17          9
        50 Supplier#000000017 ROMANIA                     2610         17         19
        51 Supplier#000000017 CANADA                      2610         17          3
        52 Supplier#000000018 ROMANIA                     3069         18         19
        53 Supplier#000000018 CANADA                      3069         18          3
        54 Supplier#000000018 MOROCCO                     3069         18         15
        55 Supplier#000000019 ROMANIA                     3654         19         19
        56 Supplier#000000019 EGYPT                       3654         19          4
        57 Supplier#000000019 INDONESIA                   3654         19          9
        58 Supplier#000000020 BRAZIL                      2862         20          2
        59 Supplier#000000020 UNITED STATES               2862         20         24
        60 Supplier#000000020 ALGERIA                     2862         20          0
        61 Supplier#000000021 CANADA                      2886         21          3
        62 Supplier#000000021 BRAZIL                      2886         21          2
        63 Supplier#000000021 MOZAMBIQUE                  2886         21         16
        64 Supplier#000000022 KENYA                       3261         22         14
        65 Supplier#000000022 VIETNAM                     3261         22         21
        66 Supplier#000000022 ALGERIA                     3261         22          0
        67 Supplier#000000023 EGYPT                       2589         23          4
        68 Supplier#000000023 IRAN                        2589         23         10
        69 Supplier#000000023 SAUDI ARABIA                2589         23         20
        70 Supplier#000000024 INDONESIA                   2682         24          9
        71 Supplier#000000024 ALGERIA                     2682         24          0
        72 Supplier#000000024 IRAN                        2682         24         10
        73 Supplier#000000025 BRAZIL                      2823         25          2
        74 Supplier#000000025 ALGERIA                     2823         25          0
        75 Supplier#000000025 EGYPT                       2823         25          4
        76 Supplier#000000026 EGYPT                       2652         26          4
        77 Supplier#000000026 VIETNAM                     2652         26         21
        78 Supplier#000000026 ETHIOPIA                    2652         26          5
        79 Supplier#000000027 EGYPT                       2796         27          4
        80 Supplier#000000027 IRAN                        2796         27         10
        81 Supplier#000000027 ETHIOPIA                    2796         27          5
        82 Supplier#000000028 MOZAMBIQUE                  3411         28         16
        83 Supplier#000000028 INDONESIA                   3411         28          9
        84 Supplier#000000028 IRAN                        3411         28         10
        85 Supplier#000000029 JAPAN                       2307         29         12
        86 Supplier#000000029 INDONESIA                   2307         29          9
        87 Supplier#000000029 BRAZIL                      2307         29          2
        88 Supplier#000000030 CANADA                      3162         30          3
        89 Supplier#000000030 IRAN                        3162         30         10
        90 Supplier#000000030 ROMANIA                     3162         30         19
        91 Supplier#000000031 ALGERIA                     2400         31          0
        92 Supplier#000000031 IRAN                        2400         31         10
        93 Supplier#000000031 JAPAN                       2400         31         12
        94 Supplier#000000032 CANADA                      2913         32          3
        95 Supplier#000000032 INDIA                       2913         32          8
        96 Supplier#000000032 SAUDI ARABIA                2913         32         20
        97 Supplier#000000033 EGYPT                       2367         33          4
        98 Supplier#000000033 JAPAN                       2367         33         12
        99 Supplier#000000033 CANADA                      2367         33          3
       100 Supplier#000000034 ALGERIA                     2547         34          0
       101 Supplier#000000034 MOZAMBIQUE                  2547         34         16
       102 Supplier#000000034 BRAZIL                      2547         34          2
       103 Supplier#000000035 ROMANIA                     2898         35         19
       104 Supplier#000000035 BRAZIL                      2898         35          2
       105 Supplier#000000035 MOZAMBIQUE                  2898         35         16
       106 Supplier#000000036 ALGERIA                     2256         36          0
       107 Supplier#000000036 BRAZIL                      2256         36          2
       108 Supplier#000000036 MOZAMBIQUE                  2256         36         16
       109 Supplier#000000037 BRAZIL                      3069         37          2
       110 Supplier#000000037 CANADA                      3069         37          3
       111 Supplier#000000037 IRAN                        3069         37         10
       112 Supplier#000000038 JAPAN                       3300         38         12
       113 Supplier#000000038 ROMANIA                     3300         38         19
       114 Supplier#000000038 BRAZIL                      3300         38          2
       115 Supplier#000000039 SAUDI ARABIA                2967         39         20
       116 Supplier#000000039 CANADA                      2967         39          3
       117 Supplier#000000039 IRAQ                        2967         39         11
       118 Supplier#000000040 BRAZIL                      2883         40          2
       119 Supplier#000000040 INDONESIA                   2883         40          9
       120 Supplier#000000040 EGYPT                       2883         40          4
       121 Supplier#000000041 CANADA                      3132         41          3
       122 Supplier#000000041 ALGERIA                     3132         41          0
       123 Supplier#000000041 MOZAMBIQUE                  3132         41         16
       124 Supplier#000000042 EGYPT                       2655         42          4
       125 Supplier#000000042 UNITED KINGDOM              2655         42         23
       126 Supplier#000000042 BRAZIL                      2655         42          2
       127 Supplier#000000043 CANADA                      2988         43          3
       128 Supplier#000000043 BRAZIL                      2988         43          2
       129 Supplier#000000043 ROMANIA                     2988         43         19
       130 Supplier#000000044 MOZAMBIQUE                  3135         44         16
       131 Supplier#000000044 BRAZIL                      3135         44          2
       132 Supplier#000000044 UNITED KINGDOM              3135         44         23
       133 Supplier#000000045 CANADA                      2898         45          3
       134 Supplier#000000045 IRAN                        2898         45         10
       135 Supplier#000000045 INDIA                       2898         45          8
       136 Supplier#000000046 MOZAMBIQUE                  3501         46         16
       137 Supplier#000000046 CANADA                      3501         46          3
       138 Supplier#000000046 JAPAN                       3501         46         12
       139 Supplier#000000047 SAUDI ARABIA                2622         47         20
       140 Supplier#000000047 INDONESIA                   2622         47          9
       141 Supplier#000000047 ALGERIA                     2622         47          0
       142 Supplier#000000048 IRAN                        3408         48         10
       143 Supplier#000000048 JAPAN                       3408         48         12
       144 Supplier#000000048 BRAZIL                      3408         48          2
       145 Supplier#000000049 CANADA                      3030         49          3
       146 Supplier#000000049 UNITED KINGDOM              3030         49         23
       147 Supplier#000000049 EGYPT                       3030         49          4
       148 Supplier#000000050 SAUDI ARABIA                3105         50         20
