warehouse                                  capacity
Supplier#000000099 MOROCCO                     3681
Supplier#000000046 MOZAMBIQUE                  3501
Supplier#000000066 ALGERIA                     3495
Supplier#000000028 MOZAMBIQUE                  3411
Supplier#000000071 ALGERIA                     3267
Supplier#000000022 ALGERIA                     3261
Supplier#000000022 KENYA                       3261
Supplier#000000077 KENYA                       3201
Supplier#000000068 ETHIOPIA                    3162
Supplier#000000044 MOZAMBIQUE                  3135
Supplier#000000041 ALGERIA                     3132
Supplier#000000041 MOZAMBIQUE                  3132
Supplier#000000056 MOROCCO                     3114
Supplier#000000096 ALGERIA                     3081
Supplier#000000096 MOROCCO                     3081
Supplier#000000018 MOROCCO                     3069
Supplier#000000001 MOROCCO                     3066
Supplier#000000059 ALGERIA                     3012
Supplier#000000082 MOZAMBIQUE                  3012
Supplier#000000003 ALGERIA                     3009
Supplier#000000084 ALGERIA                     2970
Supplier#000000084 MOROCCO                     2970
Supplier#000000016 ALGERIA                     2958
Supplier#000000078 ETHIOPIA                    2946
Supplier#000000089 ALGERIA                     2904
Supplier#000000089 MOZAMBIQUE                  2904
Supplier#000000035 MOZAMBIQUE                  2898
Supplier#000000061 MOZAMBIQUE                  2895
Supplier#000000010 KENYA                       2892
Supplier#000000086 MOROCCO                     2889
Supplier#000000021 MOZAMBIQUE                  2886
Supplier#000000020 ALGERIA                     2862
Supplier#000000054 ALGERIA                     2838
Supplier#000000025 ALGERIA                     2823
Supplier#000000013 ALGERIA                     2808
Supplier#000000098 ALGERIA                     2808
Supplier#000000013 MOZAMBIQUE                  2808
Supplier#000000027 ETHIOPIA                    2796
Supplier#000000090 MOROCCO                     2787
Supplier#000000063 MOZAMBIQUE                  2778
Supplier#000000011 ALGERIA                     2760
Supplier#000000024 ALGERIA                     2682
Supplier#000000081 ALGERIA                     2664
Supplier#000000069 ETHIOPIA                    2655
Supplier#000000026 ETHIOPIA                    2652
Supplier#000000088 ALGERIA                     2628
Supplier#000000047 ALGERIA                     2622
Supplier#000000058 ALGERIA                     2619
Supplier#000000034 ALGERIA                     2547
Supplier#000000034 MOZAMBIQUE                  2547
Supplier#000000091 ALGERIA                     2544
Supplier#000000091 KENYA                       2544
Supplier#000000092 ALGERIA                     2541
Supplier#000000092 ETHIOPIA                    2541
Supplier#000000057 ALGERIA                     2538
Supplier#000000067 MOROCCO                     2520
Supplier#000000093 MOROCCO                     2520
Supplier#000000031 ALGERIA                     2400
Supplier#000000036 ALGERIA                     2256
Supplier#000000036 MOZAMBIQUE                  2256
